diag_name,component,message_template,covered_only_by_opportunistic_record
err_explicit_object_lambda_inaccessible_base,Sema,invalid explicit object parameter type %0 in lambda with capture; the type must derive publicly from the lambda,false
err_explicit_object_parameter_invalid,Sema,an explicit object parameter can only appear as the first parameter of a member function,false
err_export_anon_ns_internal,Sema,anonymous namespaces cannot be exported,false
err_export_empty,Parse,export declaration cannot be empty,false
err_export_in_private_module_fragment,Sema,export declaration cannot be used in a private module fragment,false
err_export_inline_not_defined,Sema,inline function not defined%select{| before the private module fragment}0,false
err_export_internal,Sema,declaration of %0 with internal linkage cannot be exported,false
err_export_non_namespace_scope_name,Sema,cannot export %0 as it is not at namespace scope,false
err_export_not_in_module_interface,Sema,export declaration can only be used within a module interface,false
err_export_partition_impl,Sema,module partition implementations cannot be exported,false
err_export_using_internal,Sema,using declaration referring to %1 with %select{internal|module|unknown}0 linkage cannot be exported,false
err_export_within_anonymous_namespace,Sema,export declaration appears within anonymous namespace,false
err_export_within_export,Sema,export declaration appears within another export declaration,false
err_expr_not_ice,Sema,expression is not an %select{integer|integral}0 constant expression,false
err_extern_c_global_conflict,Sema,declaration of %1 %select{with C language linkage|in global scope}0 conflicts with declaration %select{in global scope|with C language linkage}0,false
err_extern_def_in_header_unit,Sema,non-inline external definitions are not permitted in C++ header units,false
err_falloff_nonvoid,Sema,non-void %select{function|block|lambda|coroutine}0 does not return a value%select{| in all control paths}1,false
err_file_modified,Common,file '%0' modified since it was first processed,false
err_file_too_large,Common,file '%0' is too large for Clang to process,false
err_first_argument_to_cwsc_pdtor_call,Sema,first argument to __builtin_call_with_static_chain must not be a pseudo-destructor call,false
err_flexible_array_init_needs_braces,Sema,flexible array requires brace-enclosed initializer,false
err_flexible_array_virtual_base,Sema,flexible array member %0 not allowed in %select{struct|interface|union|class|enum}1 which has a virtual base class,false
err_fold_expression_limit_exceeded,Sema,instantiating fold expression with %0 arguments exceeded expression nesting limit of %1,false
err_for_co_await_not_range_for,Parse,'co_await' modifier can only be applied to range-based for loop,false
err_for_range_decl_must_be_var,Sema,for range declaration must declare a variable,false
err_for_range_deduction_failure,Sema,cannot use type %0 as a range,false
err_for_range_iter_deduction_failure,Sema,cannot use type %0 as an iterator,false
err_format_attribute_result_not,Sema,function does not return %0,false
err_format_conversion_argument_type_mismatch,Sema,format specifies type %0 but the argument has %select{type|underlying type}2 %1,false
err_format_nonliteral,Sema,format string is not a string literal,false
err_found_in_dependent_base,Sema,explicit qualification required to use member %0 from dependent base class,false
err_found_later_in_class,Sema,member %0 used before its declaration,false
err_friend_decl_does_not_match,Sema,friend declaration of %0 does not match any declaration in %1,false
err_friend_def_in_local_class,Sema,friend function cannot be defined in a local class,false
err_friend_explicit_instantiation,Parse,"friend cannot be declared in an explicit instantiation; if this declaration is meant to be a friend declaration, remove the 'template' keyword",false
err_friend_is_member,Sema,friends cannot be members of the declaring class,false
err_friend_specialization_def,Sema,friend function specialization cannot be defined,false
err_func_def_no_params,Parse,function definition does not declare parameters,false
err_function_member_spec_ambiguous,Sema,ambiguous member function specialization %q0 of %q1,false
err_function_parameter_limit_exceeded,Parse,too many function parameters; subsequent parameters will be ignored,false
err_function_scope_depth_exceeded,Parse,function scope depth exceeded maximum of %0,false
err_generic_sel_multi_match,Sema,controlling expression type %0 compatible with %1 generic association types,false
err_global_module_introducer_not_at_start,Parse,'module;' introducing a global module fragment can appear only at the start of the translation unit,false
err_gnu_inline_asm_disabled,Parse,GNU-style inline assembly is disabled,false
err_header_import_semi_in_macro,Lex,semicolon terminating header import declaration cannot be produced by a macro,false
err_ice_ambiguous_conversion,Sema,ambiguous conversion from type %0 to an integral or unscoped enumeration type,false
err_ice_explicit_conversion,Sema,integral constant expression requires explicit conversion from %0 to %1,false
err_id_after_template_in_nested_name_spec,Parse,expected template name after 'template' keyword in nested name specifier,false
err_illegal_decl_mempointer_to_void,Sema,'%0' declared as a member pointer to void,true
err_illegal_initializer,Sema,illegal initializer (only variables can be initialized),true
err_illegal_union_or_anon_struct_member,Sema,%select{anonymous struct|union}0 member %1 has a non-trivial %sub{select_special_member_kind}2,false
err_immediate_function_used_before_definition,Sema,immediate function %0 used before it is defined,false
err_implicit_coroutine_std_nothrow_type_not_found,Sema,std::nothrow was not found; include <new> before defining a coroutine which uses get_return_object_on_allocation_failure(),false
err_implied_std_coroutine_traits_promise_type_not_found,Sema,this function cannot be a coroutine: %q0 has no member named 'promise_type',false
err_implied_std_initializer_list_not_found,Sema,cannot deduce type of initializer list because std::initializer_list was not found; include <initializer_list>,false
err_import_in_wrong_fragment,Parse,module%select{| partition}0 imports cannot be in the %select{global|private}1 module fragment,false
err_import_not_allowed_here,Parse,imports must immediately follow the module declaration,false
err_in_class_initializer_bad_type,Sema,static data member of type %0 must be initialized out of line,false
err_in_class_initializer_literal_type,Sema,in-class initializer for static data member of type %0 requires 'constexpr' specifier,false
err_incorrect_defaulted_constexpr,Sema,defaulted definition of %sub{select_special_member_kind}0 cannot be marked %select{constexpr|consteval}1 before C++23,false
err_incorrect_number_of_vector_initializers,Sema,number of elements must be either one or match the size of the vector,false
err_indirect_goto_in_protected_scope,Sema,cannot jump from this %select{indirect|asm}0 goto statement to one of its possible targets,false
err_init_capture_deduction_failure,Sema,cannot deduce type for lambda capture %0 from initializer of type %2,false
err_init_capture_deduction_failure_from_init_list,Sema,cannot deduce type for lambda capture %0 from initializer list,false
err_init_capture_no_expression,Sema,initializer missing for lambda capture %0,true
err_init_for_function_type,Sema,cannot create object of function type %0,false
err_init_list_bad_dest_type,Sema,%select{|non-aggregate }0type %1 cannot be initialized with an initializer list,false
err_init_non_aggr_init_list,Sema,initialization of non-aggregate type %0 with an initializer list,false
err_initializer_overrides_destructed,Sema,initializer would partially override prior initialization of object of type %1 with non-trivial destruction,false
err_inline_non_function,Sema,'inline' can only appear on functions%select{| and non-local variables}0,true
err_integer_incorrect_bit_count,Sema,"incorrect number of bits in integer (expected %0 bits, have %1)",false
err_integer_sequence_integral_element_type,Sema,integer sequences must have integral element type,false
err_integer_sequence_negative_length,Sema,integer sequences must have non-negative sequence length,false
err_invalid_character_to_charify,Lex,invalid argument to convert to character,false
err_invalid_character_udl,Common,character literal with user-defined suffix cannot be used here,false
err_invalid_conversion_between_matrix_and_type,Sema,conversion between matrix type %0 and incompatible type %1 is not allowed,false
err_invalid_conversion_between_matrixes,Sema,"conversion between matrix types%diff{ $ and $|}0,1 of different size is not allowed",false
err_invalid_ctor_dtor_decl,Sema,invalid %select{constructor|destructor}0 declaration,false
err_invalid_declarator_in_block,Sema,definition or redeclaration of %0 not allowed inside a block,false
err_invalid_declarator_in_function,Sema,definition or redeclaration of %0 not allowed inside a function,false
err_invalid_explicit_object_type_in_lambda,Sema,"invalid explicit object parameter type %0 in lambda with capture; the type must be the same as, or derived from, the lambda",false
err_invalid_module_name,Sema,%0 is an invalid name for a module,false
err_invalid_numeric_udl,Common,numeric literal with user-defined suffix cannot be used here,false
err_invalid_utf8,Lex,source file is not valid UTF-8,false
